split,metric,population,quantile,value,population_tile_count
train,vegetation_fraction_valid,all_tiles,0.99,0.9976214901182588,2016
train,vegetation_fraction_valid,all_tiles,1.0,1.0,2016
train,vegetation_fraction_valid,positive_tiles,0.0,0.00033127665741852666,2015
train,vegetation_fraction_valid,positive_tiles,0.25,0.608993332946118,2015
train,vegetation_fraction_valid,positive_tiles,0.5,0.8201077199281868,2015
train,vegetation_fraction_valid,positive_tiles,0.75,0.9282173057968829,2015
train,vegetation_fraction_valid,positive_tiles,0.9,0.9714087271064923,2015
train,vegetation_fraction_valid,positive_tiles,0.95,0.9835234067311797,2015
train,vegetation_fraction_valid,positive_tiles,0.99,0.9976232617769704,2015
train,vegetation_fraction_valid,positive_tiles,1.0,1.0,2015
train,bare_land_fraction_valid,all_tiles,0.0,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.25,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.5,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.75,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.9,0.006850340468186103,2016
train,bare_land_fraction_valid,all_tiles,0.95,0.020602628302079037,2016
train,bare_land_fraction_valid,all_tiles,0.99,0.08018536078704726,2016
train,bare_land_fraction_valid,all_tiles,1.0,0.3695652173913043,2016
train,bare_land_fraction_valid,positive_tiles,0.0,2.0374067886394197e-05,432
train,bare_land_fraction_valid,positive_tiles,0.25,0.0016527547396383094,432
train,bare_land_fraction_valid,positive_tiles,0.5,0.006072093564195906,432
train,bare_land_fraction_valid,positive_tiles,0.75,0.018725974594259644,432
train,bare_land_fraction_valid,positive_tiles,0.9,0.04908721400950235,432
train,bare_land_fraction_valid,positive_tiles,0.95,0.077892827160394,432
train,bare_land_fraction_valid,positive_tiles,0.99,0.18331096236125743,432
train,bare_land_fraction_valid,positive_tiles,1.0,0.3695652173913043,432
train,water_fraction_valid,all_tiles,0.0,0.0,2016
train,water_fraction_valid,all_tiles,0.25,0.0,2016
train,water_fraction_valid,all_tiles,0.5,0.0021986035945666203,2016
train,water_fraction_valid,all_tiles,0.75,0.030435149160132725,2016
train,water_fraction_valid,all_tiles,0.9,0.11072279740975714,2016
train,water_fraction_valid,all_tiles,0.95,0.19544769597573916,2016
train,water_fraction_valid,all_tiles,0.99,0.38270878857671176,2016
