split,metric,population,quantile,value,population_tile_count
train,buildings_fraction_valid,positive_tiles,0.75,0.1965628504645157,2004
train,buildings_fraction_valid,positive_tiles,0.9,0.4063533415205276,2004
train,buildings_fraction_valid,positive_tiles,0.95,0.5227297023476827,2004
train,buildings_fraction_valid,positive_tiles,0.99,0.6664389018250152,2004
train,buildings_fraction_valid,positive_tiles,1.0,0.7713793527747016,2004
train,roads_fraction_valid,all_tiles,0.0,0.0,2016
train,roads_fraction_valid,all_tiles,0.25,0.020402609955363832,2016
train,roads_fraction_valid,all_tiles,0.5,0.04389542387402559,2016
train,roads_fraction_valid,all_tiles,0.75,0.09010811357471266,2016
train,roads_fraction_valid,all_tiles,0.9,0.16162667906419992,2016
train,roads_fraction_valid,all_tiles,0.95,0.19390550197702727,2016
train,roads_fraction_valid,all_tiles,0.99,0.2502338576225718,2016
train,roads_fraction_valid,all_tiles,1.0,0.6354264292408622,2016
train,roads_fraction_valid,positive_tiles,0.0,3.110613412965037e-05,2005
train,roads_fraction_valid,positive_tiles,0.25,0.02068091085105289,2005
train,roads_fraction_valid,positive_tiles,0.5,0.04406201937066134,2005
train,roads_fraction_valid,positive_tiles,0.75,0.0903620144428187,2005
train,roads_fraction_valid,positive_tiles,0.9,0.16168359748962877,2005
train,roads_fraction_valid,positive_tiles,0.95,0.19412359279773866,2005
train,roads_fraction_valid,positive_tiles,0.99,0.25059886365194545,2005
train,roads_fraction_valid,positive_tiles,1.0,0.6354264292408622,2005
train,vegetation_fraction_valid,all_tiles,0.0,0.0,2016
train,vegetation_fraction_valid,all_tiles,0.25,0.6418712696285906,2016
train,vegetation_fraction_valid,all_tiles,0.5,0.8388577031943684,2016
train,vegetation_fraction_valid,all_tiles,0.75,0.9374748228872585,2016
train,vegetation_fraction_valid,all_tiles,0.9,0.975012582888235,2016
train,vegetation_fraction_valid,all_tiles,0.95,0.9866453938499141,2016
train,vegetation_fraction_valid,all_tiles,0.99,0.9983140454445074,2016
train,vegetation_fraction_valid,all_tiles,1.0,1.0,2016
train,vegetation_fraction_valid,positive_tiles,0.0,0.000384172109104879,2015
train,vegetation_fraction_valid,positive_tiles,0.25,0.6423309852265644,2015
train,vegetation_fraction_valid,positive_tiles,0.5,0.8391877564191214,2015
train,vegetation_fraction_valid,positive_tiles,0.75,0.9374982227018644,2015
train,vegetation_fraction_valid,positive_tiles,0.9,0.975018139507574,2015
train,vegetation_fraction_valid,positive_tiles,0.95,0.9866468543637243,2015
train,vegetation_fraction_valid,positive_tiles,0.99,0.9983145522554562,2015
train,vegetation_fraction_valid,positive_tiles,1.0,1.0,2015
train,bare_land_fraction_valid,all_tiles,0.0,0.0,2016
